,close,high,high_limit,low,volume,day
2016-01-05-000100.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000100.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000100.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000100.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000150.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000150.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000150.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000150.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000151.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000151.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000151.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000151.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000153.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000153.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000153.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000153.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000155.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000155.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000155.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000155.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000156.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000156.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000156.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000156.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000157.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000157.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000157.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000157.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000158.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000158.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000158.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000158.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000159.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000159.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000159.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000159.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000166.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000166.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000166.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000166.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000301.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
2016-01-06-000301.XSHE,76.4,76.4,76.4,65.88,28908436.0,18.0
2016-10-12-000301.XSHE,43.76,43.76,43.76,38.91,22979085.0,202.0
2016-10-13-000301.XSHE,45.63,46.88,48.14,42.11,20111281.0,203.0
2016-01-05-000333.XSHE,69.45,69.45,69.45,57.0,40235170.0,17.0
