,change,date,last_day,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,last_recent,minute_low,minute_volume,minute,nearby,wave,top_count,vol5,volume_mean,recent_high,volume_high,recent_low,st,isnew
600191.XSHG_2017-07-25,0.968698517298,2017-07-25 00:00:00,2017-07-24 00:00:00,600191.XSHG,15.8,15.8,15.8,14.02,14.15,56847789.0,30.0,16.55,17.38,17.38,16.03,16.2,76275407.0,31.0,18.07,18.21,18.21,15.96,16.11,67026438.0,32.0,17.49,18.33,19.88,17.15,17.64,59516620.0,33.0,1.0,2.0,15.96,64379600.0,14:57:00,2.0,0,0,0.100278551532,12621245.5309,14.79,71387766.0,8.29,False,False
600193.XSHG_2017-08-29,1.0199556541,2017-08-29 00:00:00,2017-08-28 00:00:00,600193.XSHG,7.45,7.45,7.45,7.45,7.45,2826382.0,0.0,8.2,8.2,8.2,8.2,8.2,2832496.0,1.0,9.02,9.02,9.02,8.52,8.8,35441540.0,2.0,8.76,9.29,9.92,8.65,9.2,50915766.0,3.0,3.0,2.0,8.53,23562500.0,09:37:00,,0,1,0.10067114094,5665525.09524,10.97,23275996.0,6.6,False,False
600206.XSHG_2017-08-10,0.946808510638,2017-08-10 00:00:00,2017-08-09 00:00:00,600206.XSHG,10.1,10.38,11.15,10.0,10.13,31214212.0,42.0,11.11,11.11,11.11,10.1,10.14,51790576.0,43.0,11.9,12.22,12.22,11.35,11.51,133727807.0,44.0,11.1,11.66,13.09,10.73,11.57,93565237.0,45.0,2.0,1.0,11.37,106098600.0,13:56:00,0.0,0,0,0.1,9629593.58824,10.63,34790115.0,7.93,False,False
600212.XSHG_2017-08-02,1.0,2017-08-02 00:00:00,2017-08-01 00:00:00,600212.XSHG,9.3,9.79,11.23,9.2,9.2,32981472.0,32.0,9.59,10.23,10.23,9.41,10.23,28355033.0,33.0,10.55,10.55,10.55,9.63,9.63,52832611.0,34.0,10.17,10.66,11.61,10.13,10.55,42992375.0,35.0,1.0,1.0,9.63,10858500.0,09:36:00,0.0,0,3,0.100104275287,16835579.4512,11.75,95614693.0,6.98,False,False
600213.XSHG_2017-07-24,0.925558312655,2017-07-24 00:00:00,2017-07-21 00:00:00,600213.XSHG,10.08,10.14,10.82,9.76,9.82,3240276.0,29.0,10.99,11.09,11.09,10.0,10.02,4233197.0,30.0,11.23,12.09,12.09,10.61,10.7,9335921.0,31.0,10.83,11.19,12.35,10.72,11.19,4920557.0,32.0,1.0,1.0,10.7,930700.0,09:30:00,0.0,0,0,0.0902777777778,2950453.58333,16.1,8698110.0,9.5,False,False
600225.XSHG_2017-07-24,0.958333333333,2017-07-24 00:00:00,2017-07-21 00:00:00,600225.XSHG,5.44,5.47,5.61,5.33,5.35,6603384.0,29.0,5.71,5.71,5.71,5.42,5.42,20992164.0,30.0,5.83,6.0,6.0,5.68,5.74,30384446.0,31.0,5.67,5.79,6.12,5.59,5.75,15718397.0,32.0,2.0,1.0,5.68,14639900.0,10:33:00,1.0,0,1,0.0496323529412,7315670.5122,6.97,27030083.0,5.08,True,False
600225.XSHG_2017-07-26,1.00840336134,2017-07-26 00:00:00,2017-07-25 00:00:00,600225.XSHG,5.83,6.0,6.0,5.68,5.74,30384446.0,31.0,5.67,5.79,6.12,5.59,5.75,15718397.0,32.0,5.95,5.95,5.95,5.64,5.7,15806254.0,33.0,5.92,6.12,6.25,5.85,6.0,18210695.0,34.0,1.0,1.0,5.64,14776000.0,14:56:00,2.0,0,1,0.0496323529412,7297696.4321,6.97,27030083.0,5.08,True,False
600230.XSHG_2017-07-26,0.972325809617,2017-07-26 00:00:00,2017-07-25 00:00:00,600230.XSHG,42.11,45.83,47.59,41.9,43.0,39822153.0,31.0,46.32,46.32,46.32,42.53,43.0,38763079.0,32.0,49.9,50.95,50.95,46.9,47.9,48303382.0,33.0,50.83,52.49,54.89,47.92,49.54,42852568.0,34.0,2.0,1.0,46.98,35374700.0,13:52:00,1.0,0,1,0.100026888949,15578490.2821,44.47,45678914.0,23.02,False,False
600231.XSHG_2017-08-04,1.03658536585,2017-08-04 00:00:00,2017-08-03 00:00:00,600231.XSHG,4.06,4.14,4.19,3.77,3.78,115228503.0,38.0,4.47,4.47,4.47,3.96,3.99,141559492.0,39.0,4.88,4.92,4.92,4.6,4.6,198769363.0,40.0,5.01,5.16,5.37,4.6,5.1,223748674.0,41.0,2.0,1.0,4.62,68381800.0,09:42:00,1.0,0,3,0.100985221675,28501147.881,3.9,107141635.0,2.76,False,False
600231.XSHG_2017-09-01,1.04166666667,2017-09-01 00:00:00,2017-08-31 00:00:00,600231.XSHG,5.15,5.26,5.32,4.84,4.95,157943838.0,58.0,5.67,5.67,5.67,5.06,5.15,153336646.0,59.0,6.24,6.24,6.24,5.8,5.8,183718411.0,60.0,6.08,6.57,6.86,5.92,6.5,198528752.0,61.0,2.0,1.0,5.83,119696500.0,11:24:00,3.0,0,5,0.100970873786,43144635.8395,5.53,223748674.0,2.76,False,False
