,change,date,stock,close0,high0,high_limit0,low0,open0,volume0,day0,close1,high1,high_limit1,low1,open1,volume1,day1,close2,high2,high_limit2,low2,open2,volume2,day2,close3,high3,high_limit3,low3,open3,volume3,day3,recent,minute_low,minute_volume,minute,circap,isnew,capq,st
600908.XSHG_2017-05-05,0.987084870849,2017-05-05 00:00:00,600908.XSHG,17.92,17.92,17.92,16.38,16.49,37937508.0,0.0,19.71,19.71,19.71,18.45,18.49,51675320.0,1.0,21.67,21.68,21.68,18.62,19.9,45244235.0,2.0,23.8,23.84,23.84,20.25,21.4,32670662.0,3.0,3.0,18.88,24069300.0,10:35:00,1235.5,False,0.374053890403,False
600908.XSHG_2017-05-08,0.898489932886,2017-05-08 00:00:00,600908.XSHG,19.71,19.71,19.71,18.45,18.49,51675320.0,1.0,21.67,21.68,21.68,18.62,19.9,45244235.0,2.0,23.8,23.84,23.84,20.25,21.4,32670662.0,3.0,21.42,21.9,26.18,21.42,21.42,21637600.0,4.0,1.0,20.26,31462800.0,14:59:00,1417.5,False,0.429155313351,False
601003.XSHG_2017-05-05,1.03984063745,2017-05-05 00:00:00,601003.XSHG,4.25,4.28,4.55,4.1,4.1,15529673.0,1.0,4.56,4.68,4.68,4.18,4.24,59150059.0,2.0,5.02,5.02,5.02,4.5,4.59,82832806.0,3.0,5.52,5.52,5.52,5.07,5.22,187070390.0,4.0,1.0,4.5,46269300.0,13:57:00,2680.0,False,0.811383590675,False
601003.XSHG_2017-05-08,0.978260869565,2017-05-08 00:00:00,601003.XSHG,4.56,4.68,4.68,4.18,4.24,59150059.0,2.0,5.02,5.02,5.02,4.5,4.59,82832806.0,3.0,5.52,5.52,5.52,5.07,5.22,187070390.0,4.0,5.22,5.5,6.07,5.03,5.4,105292957.0,5.0,2.0,5.08,67081900.0,10:32:00,2750.5,False,0.832727823191,False
601558.XSHG_2017-05-16,0.993710691824,2017-05-16 00:00:00,601558.XSHG,1.44,1.44,1.5,1.39,1.42,100716933.0,8.0,1.51,1.51,1.51,1.43,1.44,134595836.0,9.0,1.58,1.59,1.59,1.48,1.49,162564667.0,10.0,1.55,1.65,1.66,1.55,1.58,138286450.0,11.0,2.0,1.48,128516800.0,13:40:00,2400.0,False,0.726612170754,True
603050.XSHG_2017-05-04,1.09222352481,2017-05-04 00:00:00,603050.XSHG,42.3,42.3,42.3,42.3,42.3,262246.0,0.0,46.53,46.53,46.53,46.53,46.53,282551.0,1.0,51.18,51.18,51.18,51.18,51.18,1472514.0,2.0,52.13,56.01,56.3,52.01,55.9,23083746.0,3.0,3.0,,,,364.0,True,0.110202845898,False
603050.XSHG_2017-05-15,0.954653937947,2017-05-15 00:00:00,603050.XSHG,45.02,46.6,51.18,41.92,43.0,13064800.0,7.0,49.52,49.52,49.52,47.5,47.5,9134099.0,8.0,51.99,54.47,54.47,51.51,51.51,21843518.0,9.0,55.42,57.0,57.19,51.21,52.0,18550813.0,10.0,2.0,51.53,5669000.0,09:41:00,394.0,True,0.119285498032,False
603133.XSHG_2017-05-12,0.974870017331,2017-05-12 00:00:00,603133.XSHG,28.61,30.5,33.06,28.51,29.85,7113278.0,6.0,31.47,31.47,31.47,27.9,28.2,10641843.0,7.0,34.09,34.62,34.62,32.5,32.58,22533978.0,8.0,33.95,34.88,37.5,33.29,33.75,16738388.0,9.0,2.0,32.67,17802100.0,14:45:00,414.0,True,0.125340599455,False
603169.XSHG_2017-05-04,1.0228198859,2017-05-04 00:00:00,603169.XSHG,10.14,10.23,11.53,9.95,10.23,8844761.0,0.0,11.15,11.15,11.15,11.15,11.15,1997241.0,1.0,12.27,12.27,12.27,12.01,12.25,26614743.0,2.0,12.67,13.14,13.5,12.27,12.55,44820020.0,3.0,2.0,12.08,0.0,09:30:00,1760.0,False,0.532848925219,False
603232.XSHG_2017-05-16,1.00523271826,2017-05-16 00:00:00,603232.XSHG,60.02,61.25,67.12,59.39,60.38,3031396.0,8.0,66.02,66.02,66.02,66.02,66.02,410378.0,9.0,72.62,72.62,72.62,72.62,72.62,1148432.0,10.0,73.88,77.0,79.88,71.53,73.0,8316010.0,11.0,2.0,,,,161.0,True,0.0487435664547,False
603501.XSHG_2017-05-17,1.20973154362,2017-05-17 00:00:00,603501.XSHG,19.7,19.7,19.7,19.7,19.7,77309.0,7.0,21.67,21.67,21.67,21.67,21.67,300153.0,8.0,23.84,23.84,23.84,23.84,23.84,164176.0,9.0,26.22,26.22,26.22,26.22,26.22,152672.0,10.0,10.0,,,,110.0,True,0.0333030578262,False
603505.XSHG_2017-05-17,1.21015010722,2017-05-17 00:00:00,603505.XSHG,11.56,11.56,11.56,11.56,11.56,74971.0,8.0,12.72,12.72,12.72,12.72,12.72,118132.0,9.0,13.99,13.99,13.99,13.99,13.99,270169.0,10.0,15.39,15.39,15.39,15.39,15.39,356948.0,11.0,11.0,,,,51.0,True,0.0154405086285,False
603603.XSHG_2017-05-12,1.05699481865,2017-05-12 00:00:00,603603.XSHG,38.28,38.93,39.72,37.1,38.0,14140203.0,6.0,42.11,42.11,42.11,37.2,38.11,18981141.0,7.0,46.32,46.32,46.32,45.14,46.0,15803160.0,8.0,50.95,50.95,50.95,47.25,48.96,25187437.0,9.0,2.0,45.33,2493900.0,09:31:00,439.0,False,0.132909476234,False
603603.XSHG_2017-05-15,0.989990186457,2017-05-15 00:00:00,603603.XSHG,42.11,42.11,42.11,37.2,38.11,18981141.0,7.0,46.32,46.32,46.32,45.14,46.0,15803160.0,8.0,50.95,50.95,50.95,47.25,48.96,25187437.0,9.0,52.16,53.48,56.05,49.1,50.44,22039513.0,10.0,3.0,47.4,21896900.0,14:39:00,500.0,False,0.151377535574,False
603616.XSHG_2017-05-04,1.06126781923,2017-05-04 00:00:00,603616.XSHG,27.8,27.8,27.8,24.41,25.37,34388364.0,0.0,29.97,30.58,30.58,28.51,29.4,70601836.0,1.0,32.97,32.97,32.97,31.91,31.93,24628004.0,2.0,31.34,36.27,36.27,31.2,34.99,81594848.0,3.0,1.0,32.2,0.0,09:30:00,1510.0,False,0.457160157433,False
603616.XSHG_2017-05-05,0.882271850014,2017-05-05 00:00:00,603616.XSHG,29.97,30.58,30.58,28.51,29.4,70601836.0,1.0,32.97,32.97,32.97,31.91,31.93,24628004.0,2.0,31.34,36.27,36.27,31.2,34.99,81594848.0,3.0,29.47,32.0,34.47,28.71,32.0,57710811.0,4.0,2.0,34.53,26524600.0,09:57:00,1463.5,False,0.443082046624,False
603628.XSHG_2017-05-04,1.03078519543,2017-05-04 00:00:00,603628.XSHG,23.89,24.88,27.04,23.61,24.05,17893722.0,0.0,26.28,26.28,26.28,23.69,23.78,32777892.0,1.0,28.91,28.91,28.91,26.52,27.04,40993255.0,2.0,27.86,30.77,31.8,27.8,29.8,38656230.0,3.0,2.0,26.54,33515300.0,13:35:00,449.0,False,0.135937026945,False
603690.XSHG_2017-05-16,1.01936064836,2017-05-16 00:00:00,603690.XSHG,18.35,18.6,20.11,17.88,18.12,3146575.0,8.0,20.19,20.19,20.19,18.3,18.3,11558908.0,9.0,22.21,22.21,22.21,19.7,19.9,16248201.0,10.0,22.91,24.38,24.43,22.46,22.64,17438420.0,11.0,2.0,19.7,13069800.0,13:32:00,186.0,False,0.0563124432334,False
603728.XSHG_2017-05-17,1.10013956734,2017-05-17 00:00:00,603728.XSHG,23.68,23.68,23.68,23.68,23.68,65307.0,4.0,26.05,26.05,26.05,26.05,26.05,284239.0,5.0,28.66,28.66,28.66,28.66,28.66,822261.0,6.0,31.53,31.53,31.53,30.81,31.53,17499854.0,7.0,7.0,,,,590.0,True,0.178625491977,False
603787.XSHG_2017-05-09,1.2098188194,2017-05-09 00:00:00,603787.XSHG,14.14,14.14,14.14,14.14,14.14,46600.0,3.0,15.55,15.55,15.55,15.55,15.55,145267.0,4.0,17.11,17.11,17.11,17.11,17.11,329009.0,5.0,18.82,18.82,18.82,18.82,18.82,202001.0,6.0,6.0,,,,74.0,True,0.0224038752649,False
603787.XSHG_2017-05-10,1.20988310308,2017-05-10 00:00:00,603787.XSHG,15.55,15.55,15.55,15.55,15.55,145267.0,4.0,17.11,17.11,17.11,17.11,17.11,329009.0,5.0,18.82,18.82,18.82,18.82,18.82,202001.0,6.0,20.7,20.7,20.7,20.7,20.7,375072.0,7.0,7.0,,,,107.0,True,0.0323947926128,False
603787.XSHG_2017-05-11,1.21014492754,2017-05-11 00:00:00,603787.XSHG,17.11,17.11,17.11,17.11,17.11,329009.0,5.0,18.82,18.82,18.82,18.82,18.82,202001.0,6.0,20.7,20.7,20.7,20.7,20.7,375072.0,7.0,22.77,22.77,22.77,22.77,22.77,295691.0,8.0,8.0,,,,155.0,True,0.0469270360279,False
603787.XSHG_2017-05-12,1.20992534036,2017-05-12 00:00:00,603787.XSHG,18.82,18.82,18.82,18.82,18.82,202001.0,6.0,20.7,20.7,20.7,20.7,20.7,375072.0,7.0,22.77,22.77,22.77,22.77,22.77,295691.0,8.0,25.05,25.05,25.05,25.05,25.05,619711.0,9.0,9.0,,,,195.0,True,0.0590372388738,False
603787.XSHG_2017-05-15,1.0998003992,2017-05-15 00:00:00,603787.XSHG,20.7,20.7,20.7,20.7,20.7,375072.0,7.0,22.77,22.77,22.77,22.77,22.77,295691.0,8.0,25.05,25.05,25.05,25.05,25.05,619711.0,9.0,27.56,27.56,27.56,26.7,27.55,28601350.0,10.0,10.0,,,,248.0,True,0.0750832576446,False
